"id","Kenteken","Pasnummer","Datum transactie","Product","Bedrag","BTW","Bedrag ex BTW","Kilometerstand","Leverancier"
"546628742","9AMS25","112233 ******** 02123","04-01-2019 12:28","Diesel","48.64","8.44","40.20","150299","Total Nederland NV"
"544720607","9AMS25","112233 ******** 02123","17-12-2018 07:46","Diesel","55.88","9.70","46.18","149595","Total Nederland NV"
"544000149","9AMS25","112233 ******** 02123","08-12-2018 11:46","Diesel","55.63","9.65","45.98","148808","Total Nederland NV"
"547551223","9AMS25","112233 ******** 02123","21-11-2018 14:12","Diesel","57.60","10.00","47.60","148123","Diverse Stations"
"540921179","9AMS25","112233 ******** 02123","09-11-2018 09:50","Diesel","56.95","9.88","47.07","147443","Total Nederland NV"
"538550980","9AMS25","112233 ******** 02123","20-10-2018 16:50","Diesel","61.29","10.64","50.65","146472","Total Nederland NV"
"537461895","9AMS25","112233 ******** 02123","05-10-2018 14:19","Diesel","59.45","10.32","49.13","145782","Shell Nederland Verkoopmaatschappij BV"
"535396868","9AMS25","112233 ******** 02123","20-09-2018 08:39","Diesel","63.73","11.06","52.67","144853","Shell Nederland Verkoopmaatschappij BV"
"534129928","9AMS25","112233 ******** 02123","03-09-2018 14:22","Diesel","61.43","10.66","50.77","144034","Total Nederland NV"
"531985345","9AMS25","112233 ******** 02123","17-08-2018 17:38","Diesel","63.13","10.96","52.17","143152","Shell Nederland Verkoopmaatschappij BV"
"537843061","9AMS25","112233 ******** 02123","15-08-2018 09:04","Diesel","55.72","0.00","55.72","142396","Diverse Stations"
"537842963","9AMS25","112233 ******** 02123","08-08-2018 00:00","Diesel","54.21","0.00","54.21","141596","Diverse Stations"
"537843175","9AMS25","112233 ******** 02123","01-08-2018 09:19","Diesel","55.85","0.00","55.85","140778","Diverse Stations"
"537842829","9AMS25","112233 ******** 02123","30-07-2018 11:15","Diesel","12.15","2.11","10.04","140201","Diverse Stations"
"529954903","9AMS25","112233 ******** 02123","28-07-2018 16:20","Smeermiddelen","24.99","4.34","20.65","139980","Shell Nederland Verkoopmaatschappij BV"
"529954902","9AMS25","112233 ******** 02123","28-07-2018 16:20","Diesel","31.27","5.43","25.84","139980","Shell Nederland Verkoopmaatschappij BV"
"529954904","9AMS25","112233 ******** 02123","28-07-2018 16:20","Antivries","8.99","1.56","7.43","139980","Shell Nederland Verkoopmaatschappij BV"
"529543465","9AMS25","112233 ******** 02123","20-07-2018 16:08","Diesel","54.71","9.50","45.21","140000","Shell Nederland Verkoopmaatschappij BV"
"528370406","9AMS25","112233 ******** 02123","04-07-2018 08:15","Diesel","60.72","10.54","50.18","138726","Shell Nederland Verkoopmaatschappij BV"
"526352998","9AMS25","112233 ******** 02123","17-06-2018 12:08","Diesel","62.78","10.90","51.88","137895","Shell Nederland Verkoopmaatschappij BV"
"523784570","9AMS25","112233 ******** 02123","27-05-2018 12:01","Diesel","62.35","10.82","51.53","137040","Shell Nederland Verkoopmaatschappij BV"
"522784262","9AMS25","112233 ******** 02123","12-05-2018 12:07","Diesel","61.23","10.63","50.60","136200","Shell Nederland Verkoopmaatschappij BV"
"521067347","9AMS25","112233 ******** 02123","28-04-2018 20:21","Diesel","60.96","10.58","50.38","135600","Shell Nederland Verkoopmaatschappij BV"
"519591408","9AMS25","112233 ******** 02123","08-04-2018 18:05","Diesel","52.41","9.10","43.31","134900","Shell Nederland Verkoopmaatschappij BV"
"517632013","9AMS25","112233 ******** 02123","22-03-2018 20:09","Diesel","58.38","10.13","48.25","134340","Shell Nederland Verkoopmaatschappij BV"
"515856737","9AMS25","112233 ******** 02123","02-03-2018 17:09","Diesel","56.39","9.79","46.60","132764","Diverse Stations"
"513396089","9AMS25","112233 ******** 02123","13-02-2018 16:29","Diesel","58.47","10.15","48.32","132156","BP Europa SE - BP Nederland"
"511394433","9AMS25","112233 ******** 02123","31-01-2018 10:38","Diesel","58.64","10.18","48.46","131000","Shell Nederland Verkoopmaatschappij BV"
"510345386","9AMS25","112233 ******** 02123","15-01-2018 07:54","Diesel","56.50","9.81","46.69","129655","Diverse Stations"
"509616087","9AMS25","112233 ******** 02123","05-01-2018 07:34","Diesel","53.00","9.20","43.80","129774","Shell Nederland Verkoopmaatschappij BV"
"507170789","9AMS25","112233 ******** 02123","16-12-2017 16:14","Diesel","51.51","8.94","42.57","129015","Shell Nederland Verkoopmaatschappij BV"
"506408994","9AMS25","112233 ******** 02123","06-12-2017 07:53","Diesel","54.79","9.51","45.28","128334","Shell Nederland Verkoopmaatschappij BV"
"504138432","9AMS25","112233 ******** 02123","24-11-2017 10:36","Diesel","55.50","9.63","45.87","127555","Shell Nederland Verkoopmaatschappij BV"
"503531916","9AMS25","112233 ******** 02123","15-11-2017 07:11","Diesel","52.26","9.07","43.19","126723","Shell Nederland Verkoopmaatschappij BV"
"502983276","9AMS25","112233 ******** 02123","09-11-2017 11:03","Diesel","54.60","9.48","45.12","125961","Shell Nederland Verkoopmaatschappij BV"
"500992152","9AMS25","112233 ******** 02123","30-10-2017 06:56","Diesel","52.02","9.03","42.99","125155","Shell Nederland Verkoopmaatschappij BV"
"500170505","9AMS25","112233 ******** 02123","17-10-2017 08:55","Diesel","54.50","9.46","45.04","124269","Shell Nederland Verkoopmaatschappij BV"
